lat,lon
40.778597,-104.800822
40.811405,-104.800534
40.16875,-104.751556

40.532893,-104.567363
39.698372,-105.093408
40.216349,-104.283956
40.121829,-104.798842
40.169444,-104.930827
39.549208,-104.700812
40.428669,-104.860622
40.259355,-104.397631
39.532705,-104.271145
39.754435,-104.319015
39.739943,-104.487178
40.423298,-104.515243
40.184862,-104.171121
39.982951,-104.417001
40.314402,-104.029299
38.427646,-102.994851
40.449499,-104.751606
39.512874,-104.706074
39.368057,-104.611022
39.880034,-104.769438
39.741963,-103.98507
39.922295,-104.581224
40.766696,-104.555234
40.596264,-104.603427
39.772607,-104.435512
40.645619,-103.808781
39.494515,-105.047725
40.123163,-104.927738
38.935612,-104.083555
39.995712,-104.971134
40.840828,-103.831423
39.604678,-104.806731
38.051572,-102.079618
38.923802,-104.79601
39.421249,-104.696302
39.596125,-104.744724
40.228202,-104.489767
39.711634,-104.263227
40.01365,-103.808898
39.511352,-104.392102
39.36141,-104.922993
39.748752,-104.019158
38.95636,-104.833406
39.525545,-104.675824
40.009041,-104.996073
39.897397,-104.716927
39.832735,-105.055633
39.474782,-103.900524
39.95647,-104.615179
39.609298,-104.475922
40.565869,-103.836385
38.786807,-104.254416
40.031084,-104.893167
39.823523,-104.31807
39.230692,-104.90264
40.067786,-104.534331
39.67293,-104.942964
40.089413,-104.393114
39.587803,-104.813125
39.761617,-104.398161
40.292275,-104.289639
38.971206,-104.582806
40.013688,-103.841951
38.065048,-102.698131
39.599991,-104.855069
40.605503,-104.823038
39.652883,-104.394944
39.863453,-108.288352
40.031962,-104.920298
38.902983,-104.220035
40.070674,-104.972932
39.525809,-104.382726
39.854961,-104.114384
39.588888,-104.18614
39.072548,-104.110606
38.324521,-102.212165
39.704125,-104.295918
39.899142,-104.837491
39.888077,-104.344261
38.098662,-102.10281
39.625631,-104.644131
39.669435,-104.835504
38.950919,-104.58805
39.81374,-104.139413
39.406087,-104.882337
39.876389,-105.04391
39.651316,-104.957116
40.149091,-104.546291
38.286473,-102.520335
38.996901,-104.623857
39.916123,-104.749952
39.108089,-104.804104
39.758524,-104.225962
